last_name, first_name,player_id,year,b_k_percent,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate
Riley, Austin,663586,2021,25.4,0.303,0.281,0.512,0.366,0.348,0.231,90.1,14.2,13.3
Mountcastle, Ryan,663624,2021,27.5,0.255,0.245,0.458,0.326,0.303,0.213,89.1,16.3,11.8
Tucker, Kyle,663656,2021,15.9,0.294,0.307,0.58,0.4,0.372,0.273,91.4,17.6,11.6
India, Jonathan,663697,2021,22.3,0.269,0.259,0.442,0.356,0.368,0.183,87.6,13.1,9.6
Grisham, Trent,663757,2021,22.6,0.242,0.241,0.368,0.309,0.328,0.127,88.8,12.3,5.2
Lowe, Nathaniel,663993,2021,25.2,0.264,0.236,0.402,0.324,0.333,0.166,90.8,5,9.5
Happ, Ian,664023,2021,29.2,0.226,0.22,0.397,0.317,0.32,0.177,89.5,9.9,10.9
France, Ty,664034,2021,16.3,0.291,0.27,0.436,0.347,0.353,0.166,88.5,11,6.8
Lowe, Brandon,664040,2021,27.2,0.247,0.25,0.5,0.36,0.343,0.25,89.3,16.9,14
Fletcher, David,664058,2021,9,0.262,0.273,0.321,0.281,0.308,0.048,82.3,8.4,0
Straw, Myles,664702,2021,19,0.271,0.256,0.333,0.303,0.337,0.077,87.1,11.9,1.3
Walsh, Jared,665120,2021,26,0.277,0.257,0.436,0.327,0.323,0.179,89.6,7.8,11.3
Tatis Jr., Fernando,665487,2021,28,0.282,0.279,0.618,0.408,0.363,0.338,93.9,13.8,21.3
Guerrero Jr., Vladimir,665489,2021,15.8,0.311,0.307,0.594,0.418,0.399,0.287,95.1,9.4,15.1
Soto, Juan,665742,2021,14.2,0.313,0.305,0.545,0.429,0.463,0.241,93,5.8,13.3
Chisholm Jr., Jazz,665862,2021,28.6,0.248,0.238,0.409,0.307,0.295,0.171,90.2,9,9
Bichette, Bo,666182,2021,19.9,0.298,0.291,0.49,0.355,0.337,0.198,91.4,7.3,9.9
Carlson, Dylan,666185,2021,24.6,0.266,0.247,0.407,0.322,0.328,0.159,88.2,15.1,7
Garcia, Adolis,666969,2021,31.2,0.243,0.223,0.426,0.302,0.271,0.203,91,14.7,11.5
Gurriel Jr., Lourdes,666971,2021,18.9,0.276,0.272,0.462,0.339,0.319,0.19,89.7,10.5,9.6
Arozarena, Randy,668227,2021,28.1,0.274,0.222,0.369,0.304,0.313,0.147,89.9,7.6,8.2
Reynolds, Bryan,668804,2021,18.4,0.302,0.294,0.524,0.386,0.384,0.23,89.4,13.4,10.4
Rojas, Josh,668942,2021,24.9,0.264,0.237,0.357,0.299,0.318,0.12,88.2,8.4,4.8
Edman, Tommy,669242,2021,13.7,0.262,0.274,0.401,0.316,0.32,0.127,87.5,9.5,4.2
Solak, Nick,669256,2021,20.9,0.242,0.238,0.361,0.299,0.31,0.124,86.9,7,6.5
Hays, Austin,669720,2021,20.2,0.256,0.245,0.432,0.316,0.298,0.187,88.8,12.5,9.1
Lopez, Nicky,670032,2021,13.1,0.3,0.239,0.305,0.283,0.313,0.065,86.8,2.8,0.7
Alvarez, Yordan,670541,2021,24.2,0.277,0.28,0.571,0.39,0.351,0.291,93.2,14.1,15.9
