last_name, first_name,player_id,year,b_home_run,
Santana, Carlos,467793,2017,23,
Gonzalez, Carlos,471865,2017,14,
Mercer, Jordy,474568,2017,14,
Alonso, Yonder,475174,2017,28,
Smoak, Justin,475253,2017,38,
Zimmerman, Ryan,475582,2017,36,
Lowrie, Jed,476704,2017,14,
Morrison, Logan,489149,2017,38,
Gurriel, Yuli,493329,2017,18,
Solarte, Yangervis,500208,2017,18,
Freese, David,501896,2017,10,
Davis, Khris,501981,2017,43,
Pham, Tommy,502054,2017,23,
Reddick, Josh,502210,2017,13,
Murphy, Daniel,502517,2017,23,
Goldschmidt, Paul,502671,2017,36,
Gonzalez, Marwin,503556,2017,23,
Altuve, Jose,514888,2017,24,
Hernandez, Cesar,514917,2017,9,
Segura, Jean,516416,2017,11,
Freeman, Freddie,518692,2017,28,
LeMahieu, DJ,518934,2017,8,
Moreland, Mitch,519048,2017,22,
Moustakas, Mike,519058,2017,38,
Rizzo, Anthony,519203,2017,32,
Souza Jr., Steven,519306,2017,30,
Stanton, Giancarlo,519317,2017,59,
Thames, Eric,519346,2017,31,
Galvis, Freddy,520471,2017,12,
Garcia, Avisail,541645,2017,18,
Inciarte, Ender,542255,2017,11,
Ozuna, Marcell,542303,2017,37,
Beckham, Tim,542921,2017,22,
Crawford, Brandon,543063,2017,14,
Harrison, Josh,543281,2017,16,
Hosmer, Eric,543333,2017,25,
Rendon, Anthony,543685,2017,25,
Shaw, Travis,543768,2017,31,
Springer III, George,543807,2017,34,
Strange-Gordon, Dee,543829,2017,2,
Gregorius, Didi,544369,2017,25,
Trout, Mike,545361,2017,33,
Herrera, Odubel,546318,2017,14,
Abreu, Jose,547989,2017,33,
Suarez, Eugenio,553993,2017,26,
Santana, Domingo,570267,2017,30,
Sanchez, Yolmer,570560,2017,12,
Schoop, Jonathan,570731,2017,32,
Arenado, Nolan,571448,2017,37,
Hamilton, Billy,571740,2017,4,
Joseph, Tommy,571830,2017,22,
Lamb, Jake,571875,2017,30,
Myers, Wil,571976,2017,30,
Seager, Kyle,572122,2017,27,
