last_name, first_name,player_id,year,batting_avg,slg_percent,on_base_percent
Realmuto, J.T.,592663,2019,0.275,0.493,0.327
Rosario, Eddie,592696,2019,0.276,0.5,0.3
Yelich, Christian,592885,2019,0.329,0.671,0.429
Merrifield, Whit,593160,2019,0.302,0.463,0.348
Bogaerts, Xander,593428,2019,0.309,0.555,0.384
Alberto, Hanser,593643,2019,0.305,0.422,0.327
Polanco, Jorge,593871,2019,0.295,0.485,0.355
Calhoun, Kole,594777,2019,0.232,0.467,0.324
Eaton, Adam,594809,2019,0.279,0.428,0.36
Profar, Jurickson,595777,2019,0.218,0.41,0.301
Baez, Javier,595879,2019,0.281,0.531,0.316
Lindor, Francisco,596019,2019,0.284,0.518,0.335
Odor, Rougned,596059,2019,0.205,0.439,0.282
Story, Trevor,596115,2019,0.294,0.554,0.363
Vogelbach, Daniel,596129,2019,0.208,0.439,0.341
Kepler, Max,596146,2019,0.252,0.519,0.336
Bradley Jr., Jackie,598265,2019,0.225,0.421,0.316
Nunez, Renato,600524,2019,0.244,0.46,0.311
Ahmed, Nick,605113,2019,0.254,0.437,0.315
Anderson, Brian,605119,2019,0.261,0.468,0.342
Bell, Josh,605137,2019,0.277,0.569,0.367
Betts, Mookie,605141,2019,0.295,0.524,0.391
Smith, Mallex,605480,2019,0.227,0.335,0.299
Arcia, Orlando,606115,2019,0.223,0.35,0.282
Marte, Ketel,606466,2019,0.329,0.592,0.389
Turner, Trea,607208,2019,0.298,0.497,0.353
Pillar, Kevin,607680,2019,0.259,0.432,0.287
Ramirez, Jose,608070,2019,0.255,0.479,0.327
Bregman, Alex,608324,2019,0.296,0.592,0.423
Seager, Corey,608369,2019,0.272,0.483,0.335
Reyes, Franmil,614177,2019,0.249,0.512,0.31
Swanson, Dansby,621020,2019,0.251,0.422,0.325
Newman, Kevin,621028,2019,0.308,0.446,0.352
Olson, Matt,621566,2019,0.267,0.545,0.351
Alonso, Pete,624413,2019,0.26,0.583,0.358
Conforto, Michael,624424,2019,0.257,0.494,0.363
Frazier, Adam,624428,2019,0.278,0.417,0.334
Puig, Yasiel,624577,2019,0.267,0.458,0.327
Soler, Jorge,624585,2019,0.265,0.569,0.352
Meadows, Austin,640457,2019,0.291,0.558,0.364
Anderson, Tim,641313,2019,0.335,0.508,0.357
Bellinger, Cody,641355,2019,0.305,0.629,0.405
Dozier, Hunter,641531,2019,0.279,0.522,0.348
Mancini III, Trey,641820,2019,0.291,0.535,0.364
McMahon, Ryan,641857,2019,0.25,0.45,0.328
Rosario, Amed,642708,2019,0.287,0.432,0.322
Adames, Willy,642715,2019,0.254,0.418,0.315
Benintendi, Andrew,643217,2019,0.266,0.431,0.341
McNeil, Jeff,643446,2019,0.318,0.531,0.384
Albies, Ozzie,645277,2019,0.295,0.5,0.352
Robles, Victor,645302,2019,0.255,0.419,0.323
Devers, Rafael,646240,2019,0.311,0.555,0.36
Jimenez, Eloy,650391,2019,0.267,0.513,0.315
Torres, Gleyber,650402,2019,0.278,0.535,0.336
Chapman, Matt,656305,2019,0.249,0.506,0.342
Hoskins, Rhys,656555,2019,0.226,0.454,0.363
Schwarber, Kyle,656941,2019,0.25,0.531,0.339
DeJong, Paul,657557,2019,0.233,0.444,0.318
Moncada, Yoan,660162,2019,0.315,0.548,0.367
Acuna Jr., Ronald,660670,2019,0.28,0.518,0.364
Fletcher, David,664058,2019,0.29,0.384,0.349
Guerrero Jr., Vladimir,665489,2019,0.272,0.433,0.339
Soto, Juan,665742,2019,0.282,0.548,0.401
Reynolds, Bryan,668804,2019,0.314,0.503,0.377
